Complexity,Loss,Equation
1,0.48147923,"1.5746353"
3,0.012543161,"x1 ^ -0.50657785"
4,0.012543159,"inv(x1 ^ 0.5065943)"
5,0.008024165,"inv(erf(x1) + 0.20346189)"
6,0.0067180013,"exp((1.1510673 - x1) ^ 2.917703)"
7,0.0066909967,"exp(erfc(2.3653045 ^ x1) * 9.361313)"
8,0.0063449927,"exp((1.1536082 - (x3 + x1)) ^ 2.9289196)"
9,0.006324058,"exp(erfc(x3 + (2.3675284 ^ x1)) * 9.434924)"
10,0.0058465926,"exp(((x0 * 0.014149537) + (1.143547 - x1)) ^ 2.9239058)"
11,0.005845881,"exp(erfc(((x0 * -0.1464768) + 2.4498866) ^ x1) * 9.369154)"
12,0.005464466,"exp((1.1476823 - ((0.9307519 ^ x0) * (x1 + x3))) ^ 3.071009)"
13,0.005457041,"exp((1.1479485 - ((0.9307206 ^ x0) * (erf(x3) + x1))) ^ 3.0710087)"
14,0.005402268,"exp(((((-0.18047714 - x3) - x1) * (0.96074504 ^ x0)) + 1.3269818) ^ 3.0100045)"
15,0.0053962907,"exp((((0.9610418 ^ x0) * ((-0.18166475 - erf(x3)) - x1)) + 1.3284564) ^ 3.009765)"
16,0.0053578564,"exp(((((x0 - 1.7377853) * (x3 - (x1 * -0.06649788))) + 1.1665591) - x1) ^ 2.6899357)"
17,0.0053483173,"exp((((x0 - 1.7845707) * (x3 - (erf(x1) * -0.06313139))) + (1.1677661 - x1)) ^ 2.684085)"
18,0.005296467,"exp(((((x0 - (x3 ^ -0.056185074)) * (x3 - -0.012412334)) + (1.169778 - x3)) - x1) ^ 2.9286819)"
19,0.0052792113,"exp(((1.1780105 - (x3 ^ 0.8621685)) + ((erf(x0 - (x3 ^ -0.04256712)) * 0.03093426) - x1)) ^ 2.9380689)"
20,0.0052690674,"exp((((x3 - -0.012698142) * (x0 - (x3 ^ -0.059034478))) + ((1.1710263 - x1) - x3)) ^ 2.9206803) - x3"
21,0.005233108,"exp(((((erf(x0 + (x1 - (x3 ^ -0.0453338))) * 0.025630964) + 1.1723796) - x1) - (x3 ^ 0.86397624)) ^ 2.9963465)"
23,0.005189647,"exp((((((((x3 ^ -0.061160736) - x0) * -0.012247167) - x1) - x3) + 1.1711202) ^ 2.90785) - ((x3 * erfc(x0)) ^ 0.69314253))"
24,0.005185628,"exp(((((((x3 ^ -0.055550475) - x0) * (((x1 + 0.18309116) * -0.037407093) - x3)) + 1.1704868) - x1) ^ 2.7668478) - (x3 ^ 0.76247305))"
25,0.005174084,"exp((((1.2063067 - x3) + ((erf((x0 + (x1 + -0.6101928)) - (x3 ^ -0.035450127)) * 0.058678634) - x1)) ^ 2.9963481) - (x3 ^ 0.82351595))"
26,0.005166499,"exp(((((((x0 - (x3 ^ -0.056666117)) * (x3 - ((x1 + 0.14877237) * -0.041624762))) - x1) + 1.1674883) ^ 2.7817507) + 0.009276168) - (x3 ^ 0.74704766))"
27,0.005134697,"exp((((((x1 + 0.2977111) * (((x3 ^ -0.057543494) - x0) * -0.026589945)) + (1.1702967 - x3)) - x1) ^ 2.809525) - ((x3 * erfc(x0)) ^ 0.69880813))"
28,0.005133136,"exp(((((((erf(x1) + 0.29766554) * ((x3 ^ -0.05720809) - x0)) * -0.025857216) + (1.1702633 - x3)) - x1) ^ 2.8094552) - ((x3 * erfc(x0)) ^ 0.69879967))"
29,0.005123292,"exp(((((((x1 + 0.2977781) * (((x3 ^ -0.06178305) - x0) * -0.02621379)) + (1.1684417 - x3)) - x1) ^ 2.8292768) - ((x3 * erfc(x0)) ^ 0.6740887)) - -0.00744196)"
30,0.0051208455,"exp(((((((x1 + 0.3025319) * ((x3 ^ -0.05916907) - x0)) * -0.02756637) + ((1.1687884 - x3) - x1)) ^ 2.8290846) - ((x3 * erf(erfc(x0))) ^ 0.66194034)) - -0.0076340935)"
